A & M Institute Of Mgt. & Tech ,,Punjab   
Lady Violet College Of Women Chennai,Chennai  ,Tamil Nadu  
Lady Willingdon Institute Of Advncd Study In Edn,,Tamil Nadu  
Lady Willingdon Training College,Chennai  ,Tamil Nadu  
Lahanuji Maharaj Bahuddeshiya Shikshan Prasarak Ma,,Maharashtra  
Laheri T T College,,Rajasthan  
Lahoti Degree College,Kondanagula  ,Andhra Pradesh  
Lajpat Rai College,,Uttar Pradesh  
Lajpat Rai D.A.V. College,,Punjab  
Lajpat Rai Law College,Sambalpur  ,Orissa  
Lakhdhirji Engineering College,,Gujarat  
Lakhimpur Commerce College,,Assam  
Lakhimpur Girls College,,Assam  
Lakhimpur Kendriya Mahavidyalaya,,Assam  
Lakhimpur Post Graduate Training College North La,,Assam  
Lakhipur College,Lakhimpur  ,Assam  
Lakhmi Chand Institute Of Technology,Bilaspur  ,Chhattisgarh  
Lakhmi Chand Patwari College Of Education,,Uttar Pradesh  
Lakireddy Bali Reddy College Of Engineering,Mylavaram  ,Andhra Pradesh  
Lakjivan Bahudeshiya Sevabhavi Sansha,,Maharashtra  
Lakshay College Of Education,,Haryana  
Lakshay Institute Of Education,,Himachal Pradesh  
Lakshay Institute Of Mgt. Studies,Panipat  ,Haryana  
Lakshmi Ammal College Of Education,,Tamil Nadu  
Lakshmi Ammal College Of Education For Women,,Tamil Nadu  
Lakshmi Ammal Polytechnic College,Trichy  ,Tamil Nadu  
Lakshmi Ammal Teacher Training Institute,,Tamil Nadu  
Lakshmi Bai College,Delhi  ,Delhi  
Lakshmi Bai National College Of Physical Education,,Kerala  
Lakshmi Chand Rajani College Of Engineering And Technology,Tiruvallur  ,Tamil Nadu  
Lakshmi College Of Education,Dindigul  ,Tamil Nadu  
M & M College Of Education,,Punjab  
M A L D Government Arts Science College,Mahabubnagar  ,Andhra Pradesh  
M A Rameshwar Lata Sanskrit Mahavidyalaya,,Bihar  
M B Arts And Commerce College,,Gujarat  
M B College Commerce Sgmnl Arts College,,Gujarat  
M B R R V Pd Singh College,,Bihar  
M C College,,Assam  
M C Das College,,Assam  
M C Sheth Commerce College,,Gujarat  
M D D Mahila College,,Bihar  
M D S D Girls College,,Haryana  
M D Science College,,Gujarat  
M D Shah Commerce B D Patel Arts College,,Gujarat  
"M D T Hindu College, Tirunelveli",Tirunelveli  ,Tamil Nadu  
M E T Teachers College,,Jammu And Kashmir  
M G College Bihar,,Bihar  
M H Azad National Degree College,,Bihar  
M H B M College,,Bihar  
M J College Commerce,,Gujarat  
M J K College,,Bihar  
M J M Mahila College,,Bihar  
M K Jain College For Women Vellore,Vellore  ,Tamil Nadu  
M K R Government Degree College,Nalgonda  ,Andhra Pradesh  
M K S College,,Bihar  
M L Arya College,,Bihar  
M L R S College Education,,Haryana  
M L S College,,Bihar  
M L S M College,,Bihar  
M M College,,Bihar  
M M Gandhi Arts And Commerce College,,Gujarat  
M M Ghodasara Mahila Arts And Commerce College,,Gujarat  
M M Mahila College,,Bihar  
M N C Balika Mahavidyalaya,,Assam  
M R College For Women,Vizianagaram  ,Andhra Pradesh  
M R Government Sanskrit College,Vizianagaram  ,Andhra Pradesh  
M R Mahila College,,Bihar  
M S C M College,,Himachal Pradesh  
M S K B College,,Bihar  
M S M Science College,,Gujarat  
M S N Degree College Kakinada,Kadakatia  ,Andhra Pradesh  
M S S Giri College,,Bihar  
M V College,,Bihar  
M V N J S R V R College,Malkapuram  ,Andhra Pradesh  
M V S Government Arts Science College,Mahabubnagar  ,Andhra Pradesh  
M V S Government Evening College Arts,Mahabubnagar  ,Andhra Pradesh  
M. Bashir Patel Shikshan Santhas M M Patel,,Maharashtra  
M. Durai College Of Education,,Tamil Nadu  
M. Durai Teacher Training Institute,,Tamil Nadu  
M. Kumarasamy College Of Education,,Tamil Nadu  
M. Kumarasamy College Of Engineering,Karur  ,Tamil Nadu  
"M. P. Birla Institute Of Management, Associate",,Karnataka  
M. Rampur College,,Orissa  
M. Shanthi College Of Education,,Tamil Nadu  
M.A. Baig College Of Education,,Andhra Pradesh  
M.A. Educational Institute,,Delhi  
M.A.E.T. Training College,,Kerala  
M.A.K. Azad College Of Education,,Andhra Pradesh  
M.A.K.A Degree College,Prakasam  ,Andhra Pradesh  
M.A.M. College Of Engineering ... Of Technology,Trichy  ,Tamil Nadu  
M.A.R. College Of Engineering And Technology,Pudukotai  ,Tamil Nadu  
M.A.R. Polytechnic College,Trichy  ,Tamil Nadu  
M.A.S. Teacher Training Institute,,Tamil Nadu  
M.A.V.M.M. Ayira Vysiar College,Madurai  ,Tamil Nadu  
M.B. Degree College,,Uttar Pradesh  
M.B. Hindi Pandit Training College,,Andhra Pradesh  
M.B. Khalsa Education College,,Madhya Pradesh  
M.B. Khalsa Institution Of Education,,Madhya Pradesh  
M.B. Khalsa Law College,Indore  ,Madhya Pradesh  
M.B. Mahila Shikshak Prashikshan Mahavidyalaya,,Rajasthan  
M.B. Patel College Of Education,,Gujarat  
M.B. Patel Degree College Of Law,Bhandara  ,Maharashtra  
M.B. Residential College,,Karnataka  
M.B.G. Government College,,Punjab  
M.B.M. B Ed College,,Rajasthan  
M.C. Cormic Hindi Shikshak Prashishan Mahavidyala,,Andhra Pradesh  
M.C.E. Society'S H G M Azam College Of Edu,,Maharashtra  
M.C.E.S. College Of Education & Research,,Maharashtra  
M.C.T. Teacher Training Institute,,Kerala  
M.C.T. Training College,,Kerala  
M.D College,,Uttar Pradesh  
M.D. Bed College,,Rajasthan  
M.D. Bed College Of Education,,Gujarat  
M.D. College,,Uttar Pradesh  
M.D. College Of Arts & Science & Commerce,,Maharashtra  
M.D. College Of Education,,Haryana  
M.D. College Of Education Vpo,,Haryana  
M.D. College Of Technology,Panipat  ,Haryana  
M.D. High School,,Haryana  
M.D. University Deptt Of Distance Education,,Haryana  
M.D.M. Co Education Bed College,,Rajasthan  
M.D.N. College Of Education,,Haryana  
M.D.S. Teacher Training Institution,,Karnataka  
M.E.A.S. Science College,,Kerala  
M.E.C.F. College Of Teacher Education,,Kerala  
M.E.S. Abasaheb Garware College,,Maharashtra  
M.E.S. Arts & Commerce College,,Maharashtra  
M.E.S. Arts & Science College,Kozhikode  ,Kerala  
M.E.S. Asambi College,,Kerala  
M.E.S. College,Ernakulam  ,Kerala  
M.E.S. College,Kozhikode  ,Kerala  
M.E.S. College Of Arts Commerce & Science,,Karnataka  
M.E.S. College Of Education,,Andhra Pradesh  
"M.E.S. College, Erumeli",Kottayam  ,Kerala  
M.E.S. D Ed College,,Karnataka  
M.E.S. Garware College Of Commerce,,Maharashtra  
M.E.S. Kalladi College,,Kerala  
M.E.S. Keveyam College,,Kerala  
"M.E.S. Medical College, Perintalmanna",Malappuram  ,Kerala  
M.E.S. Ponnani College,,Kerala  
M.E.S. Teachers College,,Karnataka  
M.E.S. Training College,,Kerala  
M.E.S.S College Of Commerce,,Karnataka  
M.E.S.S Law College,,Karnataka  
M.E.T. College,Kozhikode  ,Kerala  
M.E.T. College Of Education,,Tamil Nadu  
M.E.T. Teacher Training Institute,,Tamil Nadu  
M.Ed College Of Vadu,,Gujarat  
M.G. Balika Vidyalaya Degree College,,Uttar Pradesh  
M.G. College,,Madhya Pradesh  
M.G. College Of Education,,Andhra Pradesh  
M.G. Degree College,,Uttar Pradesh  
M.G. Teacher Training Institute,,Tamil Nadu  
M.G. University Deptt Of Education,,Kerala  
M.G. Vidya Mandals Arts Science & Commerce College,,Maharashtra  
M.G.D. Appa Arts & Commerce College For Women,,Karnataka  
M.G.Institute Of Management & Research,Panchavati  ,Maharashtra  
M.G.M. Medical College,Jamshedpur  ,Jharkhand  
M.G.M. Medical College,Indore  ,Madhya Pradesh  
M.G.M.'S College Of Engineering And Technology,Noida  ,Uttar Pradesh  
M.G.R. College,Dharmapuri  ,Tamil Nadu  
M.G.S. Janata College,,Punjab  
M.G.T. Mandals Arts & Science & Commerce College,,Maharashtra  
M.G.V.G. Arts Science & Commerce College,,Karnataka  
M.H. Degree College,,Uttar Pradesh  
M.H. Ramaiah Teachers Training Institute,,Karnataka  
M.H.D. College,,Orissa  
M.H.D. Governmentcollege Of Home Sc.For Women,,Madhya Pradesh  
M.H.E.S. College Of Science & Technology,Kozhikode  ,Kerala  
M.I. Training College,,Kerala  
M.I.E.T. College Of Arts And Science,Trichy  ,Tamil Nadu  
M.I.E.T. Engineering College,Trichy  ,Tamil Nadu  
M.I.E.T. Polytechnic College,Tirunelveli  ,Tamil Nadu  
M.J. College,,Chhattisgarh  
M.J.D. Government College,,Rajasthan  
M.J.R. College Of Education,,Andhra Pradesh  
M.J.R.P College Of Corporate Management,,Rajasthan  
M.J.S. Government Postgraduate College,,Madhya Pradesh  
M.J.Shindo Arts Science & Commerce College,,Maharashtra  
M.K. Anantharaj College Of Physical Education,,Karnataka  
M.K. College Of Education,,Gujarat  
M.K. College Of Education,,Punjab  
M.K. English Medium Pre Ptc College For Girls,,Gujarat  
M.K. Girls Pre Ptc College,,Gujarat  
M.K. Haji Adhyapak Vidyalaya,,Maharashtra  
M.K. Institute Of Education And Research,,Gujarat  
M.K. Institute Of Elementary Teacher Education,,Gujarat  
M.K. Institute Of Management Studies,,Punjab  
M.K. Institute Of Secondary Teacher Education,,Gujarat  
M.K. Law College,Bharuch  ,Gujarat  
M.K. Patel Physical Education College,,Gujarat  
M.K. Raman Teacher Training Institute,,Tamil Nadu  
"M.K. University College, Madurai",Madurai  ,Tamil Nadu  
M.K. Womens Degree College,Mukarampura  ,Andhra Pradesh  
M.K.B. Mahila B Ed Mahavidyalaya,,Rajasthan  
M.K.Chhattishgarh. Medical College,Berhampur  ,Orissa  
M.K.M Institute Of Management,Jaipur  ,Rajasthan  
M.K.P. College,,Uttaranchal  
M.K.R. Memorial Degree College,Nalgonda  ,Andhra Pradesh  
M.K.S. College Of Education,,Uttar Pradesh  
M.Krishna Law College,,Karnataka  
M.L. & J.N.K. Girls College,,Uttar Pradesh  
M.L. Chausiya Bed College,,Madhya Pradesh  
M.L. Chausiya Bed College Chaurasiya Hospital & Re,,Madhya Pradesh  
M.L. Dahanukar College Of Commerce,,Maharashtra  
M.L. Gandhi Higher Education Society,,Gujarat  
M.L. Law College,,Madhya Pradesh  
M.L. Parmar Charitable Trust'S Chanchalba Prathmik Adhyapan Mandir,,Gujarat  
M.L.A. College Of Education,,Haryana  
M.L.B. Arts & Commerce College,,Madhya Pradesh  
M.L.B. Government College,,Rajasthan  
"M.L.B. Govt. College, Institute Of Management",Gwalior  ,Madhya Pradesh  
M.L.B. Medical College,,Uttar Pradesh  
M.L.C. Government Girls P.G. College,,Madhya Pradesh  
M.L.K. Pg College,,Uttar Pradesh  
M.L.K. Postgraduate College,,Uttar Pradesh  
M.L.M. Institute Of Education,,Haryana  
M.L.M.N. College Of Education,,Karnataka  
M.L.R. Naidu Degree College,Tirupati  ,Andhra Pradesh  
M.L.R. Saraswati College Of Education,,Haryana  
M.M. Artscommerce Home Science & Science College For Women,,Karnataka  
M.M. Chandrashekhar Agashe College Of Physical Edu,,Maharashtra  
M.M. College Of Education,,Haryana  
M.M. College Of Education,,Karnataka  
M.M. Shinde Junior College Of Education,,Maharashtra  
M.M.Arts And Commerce College,,Karnataka  
M.M.H. College,,Uttar Pradesh  
M.M.M. Postgraduate College,,Uttar Pradesh  
M.M.U. Teachers Training College,,Karnataka  
M.N Institute Of Management Studies,,Rajasthan  
"M.N.R Medical College, Sangareddy",Sangareddy  ,Andhra Pradesh  
M.N.R. Degree College,Hyderabad  ,Andhra Pradesh  
M.N.R. Rural P G College Of Education,,Andhra Pradesh  
M.N.R. Tpt Teacher Education College,,Andhra Pradesh  
M.O.P. Vaishnav College For Women,Chennai  ,Tamil Nadu  
M.P Institute Of Management & Computer Application,,Uttar Pradesh  
"M.P Shah Medical College, Jamnagar",Jamnagar  ,Gujarat  
M.P. Christian College Of Engineering Technology,Bhilai  ,Chhattisgarh  
M.P. D Ed College,,Karnataka  
M.P. Institute Of Mngt And Computer Application,,Uttar Pradesh  
M.P. Law College,Aurangabad  ,Maharashtra  
M.P.R. College Of Law,Srikakulam  ,Andhra Pradesh  
M.P.S. Shiksha Mahavidhalayath,,Madhya Pradesh  
M.P.S. Shiksha Mahavidyalaya,,Madhya Pradesh  
M.P.T. Government Girls Degree College,,Uttar Pradesh  
M.R. College,,Punjab  
M.R. College Of Education,,Haryana  
M.R. College Of Education Mitterpura Chok,,Haryana  
M.R. Dav College Of Education,,Haryana  
M.R. Government Arts College,Tiruvarur  ,Tamil Nadu  
M.R. Institute Of D Ed College,,Karnataka  
M.R. Institution,,Haryana  
M.R. Nauhnty College Of Education,,Haryana  
M.R.A. College,Visakhapatnam  ,Andhra Pradesh  
M.R.M. Institue Of Mgt,Mandal  ,Andhra Pradesh  
M.R.R. College Of Mca,Nandigram  ,Andhra Pradesh  
M.R.R. Institute Of Computer Application,Rangareddy  ,Andhra Pradesh  
M.S. Bhagat & C.S. Sonawala Law College,Nadiad  ,Gujarat  
M.S. College,Motihari  ,Bihar  
M.S. College,,Orissa  
M.S. College,,Uttar Pradesh  
"M.S. Degree College, Anantapur",Anantapur  ,Andhra Pradesh  
M.S. Garg B Ed College,,Uttaranchal  
M.S. Institute,,Uttar Pradesh  
M.S. Kakdade College,,Maharashtra  
M.S. Patel Institute Of Management Studies,Baroda  ,Gujarat  
M.S. Ramaiah College Of Education,,Karnataka  
M.S. Ramaiah Institute Of Technology,Bangalore  ,Karnataka  
M.S. Ramaiah Instt. Of Mgt,Bangalore  ,Karnataka  
M.S. Ramaiah Law College,Bangalore  ,Karnataka  
"M.S. Ramaiah Medical College, Bangalore",Bangalore  ,Karnataka  
M.S. Ramaiah Teachers Training Institute,,Karnataka  
M.S. University,,Gujarat  
M.S.B. Evening College,,Karnataka  
M.S.D. Kotak Law College,Amreli  ,Gujarat  
M.S.E.S. College Of Education,,Tamil Nadu  
M.S.G. Arts Science And Commerce College,,Maharashtra  
M.S.G.G. Shikshan Sanstha'S Adhyapak Vidyalaya,,Maharashtra  
M.S.J. College,,Rajasthan  
"M.S.N. Degree College, Vizianagaram",Thotapalem  ,Andhra Pradesh  
M.S.P. Arts Science & K.P.T. Commerce College,,Maharashtra  
M.S.P. Mandals Law College,,Maharashtra  
M.S.P. Velayutha Nadar Lakshmithaiammal Polytechnic College,Namakkal  ,Tamil Nadu  
M.S.R. College Of Education,,Andhra Pradesh  
M.S.R. Degree College,Nizamabad  ,Andhra Pradesh  
"M.S.R. Degree College, Nellore",Kavali  ,Andhra Pradesh  
M.S.R. Institute Of Teacher Education,,Andhra Pradesh  
M.S.R. Women Teachers Training Institute,,Tamil Nadu  
M.S.R.S. Siddhartha Degree College,Visakhapatnam  ,Andhra Pradesh  
M.S.S. Teacher Training Institute,,Kerala  
"M.S.S. Wakf Board College, Madurai",Madurai  ,Tamil Nadu  
M.T. College Of Education,,Haryana  
M.U.C. Womens College,,West Bengal  
"M.V. Hospital For Diabetes & Diabetes Research Centre, Chennai",Chennai  ,Tamil Nadu  
M.V. Muthiah Government Arts College For Women,Dindigul  ,Tamil Nadu  
M.V.A.S.Sri K.G.Nadgir Coll.Of Physical Education,,Karnataka  
M.V.G. Memorial Degree College,Medak  ,Andhra Pradesh  
M.V.G.R.R. College,Guntur  ,Andhra Pradesh  
M.V.J. College Of Education,,Karnataka  
M.V.J. College Of Engineering,Bangalore  ,Karnataka  
"M.V.J. Medical College And Research Hospital, Bangalore",Bangalore  ,Karnataka  
M.V.M. Chellamuthu Alagu Rathinam College Of Edu,,Tamil Nadu  
M.V.Madhya Pradesh. Government Arts College For Women,Dindigul  ,Tamil Nadu  
M.V.P.S Mahantswamy Arts Sc. And Commerce College,,Karnataka  
M.V.P.Samajs Artsscience & Commerce College,,Maharashtra  
M.V.R. Degree College,Krishna  ,Andhra Pradesh  
"M.V.R. Degree College, Visakhapatnam",Visakhapatnam  ,Andhra Pradesh  
M.V.R.S. Viveka Degree College,Tenali  ,Andhra Pradesh  
Ma Khandwari Degree College,,Uttar Pradesh  
Maa Ashapura Med College For Girls,,Gujarat  
Maa Ashapura P T C College For Girls,,Gujarat  
Maa Bala Sundri College Of Education,,Haryana  
Maa Bharti Teachers Training College,,Rajasthan  
Maa Durga S Sansthan (W) Teacher Trg College,,Rajasthan  
Maa Ganga College Of Education,,Haryana  
Maa Gayatri Arya Kanya Mahavidyalaya,,Uttar Pradesh  
Maa Kaila Devi College Of Education,,Madhya Pradesh  
Maa Kamala Chandrika Je Teachers Training College,,Bihar  
Maa Khandwari Mahavidyalaya,,Uttar Pradesh  
Maa Omwati College Of Education,,Haryana  
Maa Sarada Law College,Azamgarh  ,Uttar Pradesh  
Maa Saraswati B Ed College,,Rajasthan  
Maa Saraswati J B T College Vpo,,Haryana  
Maa Saraswati Teacher Training College,,Rajasthan  
Maa Saraswati Teachers Training Institute,,Haryana  
Maa Sharda B Ed College,,Madhya Pradesh  
Maa Sharda Bed College,,Rajasthan  
Maa Sharda Mahavidyalaya,,Uttar Pradesh  
Maa Sharda P G College,,Uttar Pradesh  
Maa Vidya Devi Jan Jagrati Sewa Samiti,,Madhya Pradesh  
Maamallan Institute Of Technology,Kanchipuram  ,Tamil Nadu  
Machhi Mahajan Education Societys College Of Edu,,Daman And Diu  
Machkhowa Degree College,,Assam  
Madam Mohan Malviya Government Ayurvedic College,,Rajasthan  
Madan Ahiyalia Mahila College,,Bihar  
Madan Maharaj College,,Madhya Pradesh  
Madan Maharaj Law College,Bhopal  ,Madhya Pradesh  
Madan Mohan Malviya Engineering College,Gorakhpur  ,Uttar Pradesh  
Madan Mohan Malviya P G College,,Uttar Pradesh  
Madan Mohan Malviya Pg College Deptt Of Education,,Uttar Pradesh  
Madan Mohan Malviya Postgraduate College,,Uttar Pradesh  
Madan Mohan Smarak Mahavidyalaya,,Uttar Pradesh  
Madanapalle Institute Of Technology & Science,Madanpalle  ,Andhra Pradesh  
Madeena D Ed College,,Andhra Pradesh  
Madeena D Ed College Madeena Educational Society,,Karnataka  
Madeena Degree College,Khammam  ,Andhra Pradesh  
Madha College Of Education,,Tamil Nadu  
Madha Engineering College
N B G S M College ,,Haryana   
N B K R Arts Science College ,Nellore   ,Andhra Pradesh   
N B T N V C College ,Guntur   ,Andhra Pradesh   
N C Bodiwala M C Desai Commerce College ,,Gujarat   
N H Patel College Education ,,Gujarat   
N L S College ,,Bihar   
N P Arts And Commerce College ,,Gujarat   
N S Patel Arts College ,,Gujarat   
N T R Govt Degree College For Women ,Mahabubnagar   ,Andhra Pradesh   
N.A. Manjammal Polytechnic College ,Nilgiris   ,Tamil Nadu   
N.A.M. College ,Kannur   ,Kerala   
N.A.S. College ,Meerut   ,Uttar Pradesh   
N.B. Science & Pg College ,Hyderabad   ,Andhra Pradesh   
N.B.C. College ,,Orissa   
N.B.M. College Of Law ,Visakhapatnam   ,Andhra Pradesh   
N.B.P. College Of Education ,,Maharashtra   
"N.B.R. Degree College, Nirmal ",Nirmal   ,Andhra Pradesh   
N.B.T.M. Law College ,Visakhapatnam   ,Andhra Pradesh   
N.C. College Of Education ,,Haryana   
N.C.College Of Engineering I ,Panipat   ,Haryana   
N.C.K. Hindi Pandit Training College ,,Andhra Pradesh   
N.D. Y.M.C.A. Institute Of Management ,Delhi   ,Delhi   
"N.D.M.V.P. Samaj Medical College, Nashik ",Nashik   ,Maharashtra   
N.D.M.V.P. Samajs Artsscience & Commerce College ,,Maharashtra   
N.D.M.V.P. Samajs College Of Education ,,Maharashtra   
N.D.M.V.P. Samajs Law College ,Nashik   ,Maharashtra   
N.D.R.K. D Ed College ,,Karnataka   
N.E.S. College Of Education ,,Madhya Pradesh   
N.E.S. College Of Information Technology ,Visakhapatnam   ,Andhra Pradesh   
N.E.S. Law College ,Jabalpur   ,Madhya Pradesh   
N.E.S. Science College ,,Madhya Pradesh   
N.E.W.S. Degree College ,Visakhapatnam   ,Andhra Pradesh   
N.H. Patel College Of Education ,,Gujarat   
N.I.M.S Institute Of Management ,Jaipur   ,Rajasthan   
N.I.M.T Institute Of Agri Business & Rural Management College ,Jaipur   ,Rajasthan   
N.I.M.T Institute Of Hospital & Pharma Management ,Noida   ,Uttar Pradesh   
N.I.P. Teacher Training Institution ,,Tamil Nadu   
N.J.R. Teacher Training Institute ,,Tamil Nadu   
N.J.S.A. Government College ,,Punjab   
N.K. Shikshak Prashikshan Mahavidyalaya ,,Rajasthan   
N.K. Varadkar Arts & R.V. Belose Commerce College ,,Maharashtra   
N.K.B.M. Girls College ,,Uttar Pradesh   
N.K.B.R. College Of Professional Studies ,,Uttar Pradesh   
"N.K.P. Salve Institute Of Medical Sciences, Nagpur ",Nagpur   ,Maharashtra   
N.K.R. Government Arts College For Women ,Namakkal   ,Tamil Nadu   
N.K.T. National College Of Education For Women ,Chennai   ,Tamil Nadu   
N.M. Christian College ,Kanyakumari   ,Tamil Nadu   
N.M. Institutue Of Diploma In Teacher Education ,,Tamil Nadu   
"N.M.D. Pg College Of Arts, Commerce, Law & Management ",Kudwa   ,Maharashtra   
N.M.K.R.V. First Grade College For Women ,,Karnataka   
N.M.S. Das P G College ,,Uttar Pradesh   
N.M.S. Sermathai Vasan College For Women ,Madurai   ,Tamil Nadu   
N.M.S.M. Government College ,Wayanad   ,Kerala   
N.M.S.S. Vellaichamy Nadar College ,Madurai   ,Tamil Nadu   
N.M.S.S.V.N. Teacher Training Institute ,,Tamil Nadu   
N.N.R & C.L College ,Ongole   ,Andhra Pradesh   
N.P. Girls Degree College ,,Uttar Pradesh   
N.P.A. Centenary Polytechnic College ,Coimbatore   ,Tamil Nadu   
N.P.R. P.G. (Mca) College ,Warangal   ,Andhra Pradesh   
N.P.V.N. Patil Law College ,Aurangabad   ,Maharashtra   
N.R. Dass Teacher Training Institute ,,Tamil Nadu   
N.R. Vekaria Institute Of Busi. Magt Studies ,Junagadh   ,Gujarat   
N.R.E.C. College ,Bulandshahar   ,Uttar Pradesh   
"N.R.I Medical College, Guntur ",Guntur   ,Andhra Pradesh   
N.R.K & K.S.R. Gupta College ,Guntur   ,Andhra Pradesh   
N.R.M. Degree College ,Rangareddy   ,Andhra Pradesh   
N.R.T. Krishnaveni Degree College ,Guntur   ,Andhra Pradesh   
N.S. Law College ,Sangli   ,Maharashtra   
N.S. Memorial College Of Science & Studies ,,Madhya Pradesh   
N.S.C.B.M. Govt College ,,Himachal Pradesh   
N.S.K. Teacher Training Institute ,,Tamil Nadu   
N.S.N. Teacher Training Institute ,,Tamil Nadu   
N.S.S. College ,Kollam   ,Kerala   
N.S.S. College ,Pathanamthitta   ,Kerala   
N.S.S. College ,Alappuzha   ,Kerala   
N.S.S. Engineering College ,,Kerala   
N.S.S. Hindu College ,Kottayam   ,Kerala   
N.S.S. Teacher Training Institute ,,Kerala   
N.S.S. Training College ,,Kerala   
N.S.S. Training College ,,Kerala   
N.S.V. Degree College ,Jagityal   ,Andhra Pradesh   
N.T.A. Arts & Vedumurti S.R. Spare Commerce College ,,Maharashtra   
N.T.R Memorial Degree College ,Prakasam   ,Andhra Pradesh   
N.T.S. Shri Shankar Artsand Commerce College ,,Karnataka   
N.T.V. Samiti'S College Of Physical Education ,,Maharashtra   
N.V.K.S. Teacher Training Institute ,,Tamil Nadu   
N.V.K.S.D. College Of Education ,,Tamil Nadu   
N.V.P. Mandals Artscommerce & Science College ,,Maharashtra   
Naami College ,,Orissa   
Nabadwip Vidyasagar College ,,West Bengal   
Nabagram Hiralal Paul College ,,West Bengal   
Nabajyoti College ,,Assam   
Nabakrushna Choudhury College Of Teacher Education ,,Orissa   
Nabarangpur Womens College ,,Orissa   
Nabinchandra College ,,Assam   
Nabira Mahavidalaya ,,Maharashtra   
Nachimuthu Polytechnic College ,Erode   ,Tamil Nadu   
Nachiyarammal College Of Education ,,Tamil Nadu   
Nachiyarammal College Of Physical Education ,,Tamil Nadu   
Nachuni College ,,Orissa   
Nadaprabhu Kempegowda D Ed College ,,Karnataka   
Nadaprabhu Kempegowda D Ed College (Telugu Medium) ,,Karnataka   
Nadaprabhu Kempegowda D Ed College(English Medium) ,,Karnataka   
Nadar Mahajana Sangam S. Vellaichamy Nadar College ,Madurai   ,Tamil Nadu   
Nadar Saraswathi College Of Teacher Education ,,Tamil Nadu   
Nadar Saraswathy College Of Arts And Science ,Theni   ,Tamil Nadu   
"Nadgir Institute Engineering Technology, ",Bangalore   ,Karnataka   
Nagai College Of Education ,,Tamil Nadu   
Nagai Teacher Training Institute ,,Tamil Nadu   
Nagaji Institute Of Teacher Education ,,Madhya Pradesh   
Nagaji Institute Of Technology & Management ,Gwalior   ,Madhya Pradesh   
Nagaland College Of Education ,,Nagaland   
Nagaland College Of Teacher Education Kohima ,,Nagaland   
Nagaland Institute Of Management ,Dimapur   ,Nagaland   
Nagaland University ,,Nagaland   
Nagamalai Navarasam Arts Science College ,Erode   ,Tamil Nadu   
Nagambika College Of Education For Women ,,Karnataka   
Nagammai Teacher Training Institute ,,Tamil Nadu   
"Nagaon Ed. Trusts, Gangamai College Of Engineering ",Nagaon   ,Maharashtra   
Nagaon G. N. D. G. Commerce College Nagaon ,Nagaon   ,Assam   
Nagar Yuvak Shikshan Sanstha\'S Datta Meghe College Of Engineering ,Thane   ,Maharashtra   
Nagar Yuwak Shikshan Sanstha-Institute Of Management & Research ,Nagpur   ,Maharashtra   
Nagarjun College Of Physical Education ,,Maharashtra   
Nagarjuna College Of Education ,,Andhra Pradesh   
Nagarjuna College Of Engineering & Technology ,Bangalore   ,Karnataka   
Nagarjuna College Of Teacher Education ,,Andhra Pradesh   
Nagarjuna Ded College ,,Andhra Pradesh   
Nagarjuna Degree College For Women ,Cuddapah   ,Andhra Pradesh   
"Nagarjuna Degree College, Medak ",Medak   ,Andhra Pradesh   
"Nagarjuna Degree College, Sangareddy ",Sangareddy   ,Andhra Pradesh   
Nagarjuna Government College ,Nalgonda   ,Andhra Pradesh   
Nagarjuna Government Evening College ,Nalgonda   ,Andhra Pradesh   
Nagarjuna Institute Of Management Studies ,Ongole   ,Andhra Pradesh   
Nagarjuna Institute Of Technology & Science ,Miryalaguda   ,Andhra Pradesh   
Nagarjuna University ,,Andhra Pradesh   
Nagashree Diploma In Education Institution ,,Karnataka   
Nagendra Jha Mahila College ,,Bihar   
Nagin D Ed College ,,Karnataka   
Nagindas Khandwala College Of Commerce & Arts ,,Maharashtra   
Nagnath Arts Commerce And Science College ,,Maharashtra   
Nagnath College Of Physical Education ,,Maharashtra   
Nagnathappa Halge Engineering College ,Beed   ,Maharashtra   
Nagpur Sharirik Shikshan Mahavidyalaya ,,Maharashtra   
Nagpur University ,Nagpur   ,Maharashtra   
Nagpurs College Of Education ,,Maharashtra   
Nagrik Degree College ,,Uttar Pradesh   
Nagrik Shikshan Sanstha'S College Of Education ,,Maharashtra   
Nagrik Shikshan Sanstha'S D Ed College ,,Maharashtra   
Naharkatiya College ,,Assam   
Nahata Jogendra Nath Mandal Smriti Mahavidyalaya ,,West Bengal   
Nai Talim Adhyapan Mandir ,,Gujarat   
Naik College Of Education ,,Andhra Pradesh   
Naina Mohamed College Of Arts And Science ,Thanjavur   ,Tamil Nadu   
Naina Mohamed College Of Education ,,Tamil Nadu   
Nair Hospital Dental College ,,Maharashtra   
Nair Samajam Teacher Training Institute ,,Kerala   
Nairs College Of Eduction ,,Tamil Nadu   
Nairs Teacher Training Institute ,,Tamil Nadu   
Nakoda Parshavnath Jain Mahavidyalaya ,,Rajasthan   
Nalanda Adhyapan Mandir ,,Gujarat   
Nalanda B Ed College ,,Karnataka   
Nalanda College ,,Bihar   
Nalanda College Of Arts & Science ,Kasaragod   ,Kerala   
Nalanda College Of Education ,,Andhra Pradesh   
Nalanda College Of Education ,,Himachal Pradesh   
Nalanda College Of Teacher Education ,,Andhra Pradesh   
